species,PA,bio12,bio1
Aneides_aeneus,0,1573,121
Aneides_aeneus,0,1202,78
Aneides_aeneus,0,1798,110
Aneides_aeneus,0,992,94
Aneides_aeneus,0,1347,132
Aneides_aeneus,0,1453,150
Aneides_aeneus,0,993,131
Aneides_aeneus,0,1330,142
Aneides_aeneus,0,1113,125
Aneides_aeneus,0,1357,117
Aneides_aeneus,0,1188,104
Aneides_aeneus,0,1442,155
Aneides_aeneus,0,1149,87
Aneides_aeneus,0,1152,154
Aneides_aeneus,0,1030,111
Aneides_aeneus,0,1433,169
Aneides_aeneus,0,1635,124
Aneides_aeneus,0,1065,113
Aneides_aeneus,0,1206,102
Aneides_aeneus,0,1336,160
Aneides_aeneus,0,1523,133
Aneides_aeneus,0,1105,122
Aneides_aeneus,0,1725,97
Aneides_aeneus,0,1218,86
Aneides_aeneus,0,1439,151
Aneides_aeneus,0,1453,166
Aneides_aeneus,0,1667,115
Aneides_aeneus,0,1463,96
Aneides_aeneus,0,1372,85
Aneides_aeneus,0,1155,161
Aneides_aeneus,0,1322,113
Aneides_aeneus,0,1058,101
Aneides_aeneus,0,1157,112
Aneides_aeneus,0,1157,155
Aneides_aeneus,0,1186,94
Aneides_aeneus,0,1551,133
Aneides_aeneus,0,1372,85
Aneides_aeneus,0,1122,113
Aneides_aeneus,0,975,98
Aneides_aeneus,0,1121,116
Aneides_aeneus,0,1342,154
Aneides_aeneus,0,1485,150
Aneides_aeneus,0,1244,150
Aneides_aeneus,0,1786,91
Aneides_aeneus,0,1484,112
Aneides_aeneus,0,1386,174
Aneides_aeneus,0,1349,177
Aneides_aeneus,0,1472,98
Aneides_aeneus,0,1472,98
Aneides_aeneus,0,1315,102
Aneides_aeneus,0,1386,83
Aneides_aeneus,0,1014,79
Aneides_aeneus,0,992,107
Aneides_aeneus,0,1184,119
Aneides_aeneus,0,1305,140
Aneides_aeneus,0,1431,100
Aneides_aeneus,0,1744,129
Aneides_aeneus,0,1406,108
Aneides_aeneus,0,1435,101
Aneides_aeneus,0,1440,113
Aneides_aeneus,0,1154,153
Aneides_aeneus,0,1217,109
Aneides_aeneus,0,1427,169
Aneides_aeneus,0,1027,111
Aneides_aeneus,0,1226,86
Aneides_aeneus,0,1313,179
Aneides_aeneus,0,1357,140
Aneides_aeneus,0,1306,179
Aneides_aeneus,0,1244,163
Aneides_aeneus,0,1460,113
Aneides_aeneus,0,970,105
Aneides_aeneus,0,1507,90
Aneides_aeneus,0,1561,146
Aneides_aeneus,0,1263,133
Aneides_aeneus,0,1438,138
Aneides_aeneus,0,1229,130
Aneides_aeneus,0,1130,77
Aneides_aeneus,0,1185,132
Aneides_aeneus,0,1086,130
Aneides_aeneus,0,1016,90
Aneides_aeneus,0,1752,123
Aneides_aeneus,0,1313,126
Aneides_aeneus,0,1671,108
Aneides_aeneus,0,1356,122
Aneides_aeneus,0,1038,79
Aneides_aeneus,0,1420,106
Aneides_aeneus,0,1083,78
Aneides_aeneus,0,1512,135
Aneides_aeneus,0,1146,150
Aneides_aeneus,0,1486,158
Aneides_aeneus,0,1147,90
Aneides_aeneus,0,1021,98
Aneides_aeneus,0,1107,120
Aneides_aeneus,0,987,95
Aneides_aeneus,0,1614,146
Aneides_aeneus,0,2040,105
Aneides_aeneus,0,1334,75
Aneides_aeneus,0,1053,106
Aneides_aeneus,0,1186,94
Aneides_aeneus,0,1539,136
Aneides_aeneus,0,1408,110
Aneides_aeneus,0,1431,150
Aneides_aeneus,0,1095,89
Aneides_aeneus,0,1622,89
Aneides_aeneus,0,1713,90
Aneides_aeneus,0,1258,93
Aneides_aeneus,0,1268,139
